Name	Set	ImageFile	Type	Attribute	Rarity	Cost	Total Cost	Race	Trait	ATK	DEF	Divinity	Text
Mephina, Mermaid Shaman	ACN	ACN-163J,ACN-163	Basic J-Ruler	Water				Mermaid		1000	1000		The weather is rain. <br/>{1}, remove a limited counter from this card: Produce {W}, {R}, {U}, {G}, or {B}.
Leaf Elder	ACN	ACN-164,ACN-164J	Basic Ruler	Wind				Elemental					[Judgment] {G} {G} {2} <br/>Remove an Elemental in your graveyard from the game: Produce {G}. Spend this will only to play Spirit Magic chants. Play this ability only once per turn. <br/>At the beginning of the game => Put two limited counters on this card. <br/>{1}, remove a limited counter from this card: Produce {W}, {R}, {U}, {G}, or {B}.
Leaf Elder	ACN	ACN-164J,ACN-164	Basic J-Ruler	Wind				Elemental		1000	1000		Remove an Elemental in your graveyard from the game: Produce {G}. Spend this will only to play Sprit Magic chants. Play this ability only once per turn. <br/>{1}, remove a limited counter from this card: Produce {W}, {R}, {U}, {G}, or {B}.
Bloodsucking Butler	ACN	ACN-165,ACN-165J	Basic Ruler	Darkness				Vampire					[Judgment] {B} {B} {2} <br/>At the beginning of the game => Put a mystery counter on this card. <br/>At the beginning of the game => Put two limited counters on this card. <br/>{1}, remove a limited counter from this card: Produce {W}, {R}, {U}, {G}, or {B}.
Bloodsucking Butler	ACN	ACN-165J,ACN-165	Basic J-Ruler	Darkness				Vampire		1000	1000		When this card enters the field => Put three mystery counters on it. <br/>{1}, remove a limited counter from this card: Produce {W}, {R}, {U}, {G}, or {B}.
A New Radiance	ADK	ADK-001	Chant	Light	Common	{W}	1						Banish a gem. If you do, gain three gems of the same attribute as the gem banished this way.
Gem Blade Opal	ADK	ADK-002	Resonator	Light	Uncommon	{W} {W}	2	Panda		600	600		Whenever you gain a gem => Prevent all damage that would be dealt to this card until end of turn.
Gem Boat Alexandrite	ADK	ADK-003	Resonator	Light	Rare	{W} {W} {4}	6	Airship		0	1500		[Flying] <br/>When this card enters the field => Remove target resonator from the game. <br/>{Rest}, banish three gems: Remove target non-magic stone, non-J-ruler entity from the game.
Gem Jail	ADK	ADK-004	Chant	Light	Uncommon	{W} {XX}							As an additional cost to play this card, banish X gems. <br/>Remove X target resonators from the game.
Golden Bird	ADK	ADK-005	Resonator	Light	Common	{W} {W} {1}	3	Beast		600	800		[Flying]
Indomitable Spirit	ADK	ADK-006	Chant	Light	Common	{W}	1						[Quickcast] <br/>Target blocking J/resonator gains [+600/+600] until end of turn. Draw a card.
Ivy on the Floating Isle	ADK	ADK-007	Resonator	Light	Common	{W} {1}	2	Vegetation		0	1000		This card can block J/resonators with [Flying]. <br/>Whenever this card blocks a J/resonator => That J/resonator doesn't recover during its controller's next recovery phase.
Jewel Cutter	ADK	ADK-008	Chant	Light	Common	{W} {W} {2}	4						This card deals 1000 damage to target resonator. <br/>[Awakening] Banish two gems: This card deals 1000 damage to another target resonator.
Jewel Golem	ADK	ADK-009	Resonator	Light	Rare	{W} {W} {3}	5	Golem		1000	1000		[Mobilize] {1} <br/>When this card enters the field => Gain a light gem, fire gem, water gem, wind gem, and darkness gem.
Jewel Shell	ADK	ADK-010	Chant	Light	Common	{W} {W} {1}	3						[Quickcast] <br/>Prevent all damage that would be dealt to J/resonators you control until end of turn. <br/>[Awakening] Banish a gem: Prevent all damage that would be dealt to you this turn.
Jeweler's Children	ADK	ADK-011	Resonator	Light	Common	{W}	1	Human		100	100		When this card is put into a graveyard from the field => Gain a water gem and a wind gem.
Light Majin	ADK	ADK-012	Resonator	Light	Uncommon	{W} {1}	2	Wicked Spirit		600	600		[Crest] {W} (This card gains the following text as long as you control a light Magic Crest.) - When this card enters the field => Put four [+100/+100] counters on it.
Magic Crest of Light	ADK	ADK-013	Addition (Magic Crest)	Light	Common	{W}	1		Magic Crest				When this card enters the field => Distribute four [+100/+100] counters on up to four target resonators.
Magic Warrior on the Floating Isle	ADK	ADK-014	Resonator	Light	Common	{W}	1	Golem		0	1500		[Mobilize] {1}
Master of the Sky	ADK	ADK-015	Resonator	Light	Uncommon	{W} {W} {2}	4	Beast		400	1000		[Quickcast] [Flying] <br/>When this card enters the field => It deals 800 damage to target attacking or blocking resonator. <br/>{Rest}: This card deals 400 damage to target attacking or blocking resonator.
Panda Pilot	ADK	ADK-016	Resonator	Light	Common	{W} {W} {3}	5	Panda		1000	1000		Banish a gem: This card gains [Flying] until end of turn.
Ra, the Golden Bird	ADK	ADK-017	Resonator	Light	Super	{W} {W}	2	Guardian		200	800		[Quickcast] [Flying] <br/>When this card enters the field => Change the target of target spell or ability with a single target to this card. <br/>Whenever this card is targeted by a spell or ability your opponent controls => Draw a card. <br/>{W} {W}: Change the target of target spell or ability targeting only this card.
Rainbow Shimmers	ADK	ADK-018	Chant	Light	Super	{W}	1						[Quickcast] <br/>Choose one - Look at the top X cards of your deck, where X is the number of gems you control. Put a card from among them into your hand and the ret on the bottom of your deck in a random order; or destroy target non-magic stone, non-J/resonator entity with total cost X or less, where X is the number of gems you control.
Rallying Song of the Panda	ADK	ADK-019	Chant	Light	Uncommon	{W} {1}	2						[Quickcast] <br/>J/resonators you control gain [+200/+200] until end of turn. <br/>Pandas you control gain [+200/+200] until end of turn.
Rampaging Magic Warrior	ADK	ADK-020	Resonator	Light	Uncommon	{W} {W} {1}	3	Golem		1000	1000		At end of turn => Banish this card if it attacked or blocked this turn.
Rose Quartz, the Panda Queen	ADK	ADK-021	Resonator	Light	Rare	{W} {W} {W} {W} {W}	5	Panda		1000	1000		You may pay {W} less to play this card for each Panda you control <br/>When this card enters the field => Pandas you control gain [+400/+400] until end of turn. <br/>At the end of your turn => Recover all Pandas you control.
Sealing the Gates of Darkness	ADK	ADK-022	Chant	Light	Uncommon	{W}	1						[Quickcast] <br/>Remove target darkness resonator from the game.
Soothsayer Panda	ADK	ADK-023	Resonator	Light	Common	{W} {1}	2	Panda		600	500		When this card enters the field => Reveal the top card of your deck. If it's a Panda, put it into your hand.
Taegrus Pearlshine	ADK	ADK-024,ADK-024J	Ruler	Light	Rare			Panda					[Judgment] {W} {W} {1} <br/>[Energize] {W} <br/>At the beginning of the game => Gain a gem of any attribute <br/>{*} Sealed Item <<Rainbow Jewel>>: Whenever a Panda enters the field under your control => Gain a light gem. Play this ability only once per turn.
Taegrus Pearlshine, Lord of the Mountain	ADK	ADK-024J,ADK-024	J-Ruler	Light	Rare			Panda		800	800		When this card enters the field => Gain two gems of any one attribute. <br/>Banish a light gem: This card gains [+500/+500] until end of turn. Play this ability only once per game. <br/>Banish a water gem: This card gains [Flying] until end of turn. <br/> {*}Sealed Item <<Rainbow Jewel>> Banish a darkness gem: Target J/resonator gains [-500/-500] until end of turn. <br/>{*} Sealed Item <<Rainbow Jewel>> Banish two light gems: Recover this card. Play this ability only once per turn.
The Floating Isle	ADK	ADK-025	Addition	Light	Uncommon	{W} {W} {1}	3						[Quickcast] <br/>Each player may only play one card per turn.
Voyage to the Floating Isle	ADK	ADK-026	Chant	Light	Rare	{W}	1						Search your deck for a resonator with [Flying], reveal it and put it into your hand. Then shuffle your deck.
White Dog of Sasaru Palace	ADK	ADK-027	Resonator	Light	Common	{W} {1}	2	Beast		600	600		Whenever you gain a gem => This card gains [+100/+100] until end of turn.
White Dragonoid Child	ADK	ADK-028	Resonator	Light	Common	{W} {W} {2}	4	Dragonoid		700	700		When this card enters the field => Recover target resonator. If it's a Dragonoid or Panda, it gains [+200/+200] until end of turn.
Winds of Gold	ADK	ADK-029	Chant	Light	Rare	{W}	1						[Quickcast] <br/>You may pay {W} less to play this card if you control a card named "Ra, the Golden Bird". <br/>Target J/resonator or yourself gains [Barrier] until end of turn.
Burning Pteranodon	ADK	ADK-030	Resonator	Fire	Uncommon	{R} {3}	4	Dinosaur		900	900		[Flying] <br/>Whenever this card attacks => It deals 300 damage to each player and J/resonator.
Callous Blaze	ADK	ADK-031	Chant	Fire	Common	{R} {1}	2						[Quickcast] <br/>This card deals 600 damage to target player or J/resonator.
Corrupted Dragonoid	ADK	ADK-032	Resonator	Fire	Rare	{R} {2}	3	Dragonoid		800	800		This card gains [Swiftness] as long as you control a Magic Crest. <br/>Whenever this card attacks => You may discard a card. If you do, draw a card.
Cross Counter	ADK	ADK-033	Chant (Battle Arts)	Fire	Common	{R}	1		Battle Arts				[Quickcast] <br/>As an additional cost to play this card, remove X strength counters from your J/ruler. <br/>Prevent the next 400 damage multiplied by X that would be dealt to target J/resonator or yourself this turn.
Devoted Squadron	ADK	ADK-034	Resonator	Fire	Rare	{R} {R} {1}	3	Dark Elf		700	700		When this card enters the field => If your life is 2000 or less, search your deck for a card named "Devoted Squadron" and put it into the field. That card entering the field doesn't cause its own abilities to trigger. Then shuffle your deck.
Dragonoid Doctor	ADK	ADK-035	Resonator	Fire	Common	{R} {1}	2	Dragonoid		600	500		When this card enters the field => Target Dragonoid gains "At end of turn => Recover this card." until end of turn.
Dragonoid Rogue	ADK	ADK-036	Resonator	Fire	Common	{R}	1	Dragonoid		400	200		[Swiftness] <br/>At end of turn => Return this card to its owner's hand.
Elixir, the Majin	ADK	ADK-037	Resonator	Fire	Super	{R} {R} {2}	4	Wicked Spirit		1000	1000		[Crest] {R} (This card gains the following text as long as you control a fire Magic Crest.) -When this card enters your field => It deals 600 damage to each resonator your opponent controls. <br/>[Crest] {B} (This card gains the following text as long as you control a darkness Magic Crest.) -When this card enters the field => Destroy target resonator.
Elixir's Fighting Spirit	ADK	ADK-038	Chant	Fire	Rare	{R}	1						[Quickcast] [Remnant] <br/>Target J/resonator gains [+400/0] and [First Strike] until end of turn.
Evil Dragon, Hellblaze	ADK	ADK-039	Resonator	Fire	Rare	{R} {R} {3}	5	Dragon		1200	1200		[Flying] <br/>When this card enters the field => Search your deck for up to two Magic Crests, reveal them and put them into your hand. Then shuffle your deck.
Fast Food	ADK	ADK-040	Chant	Fire	Common	{R}	1						Choose one - Put five strength counters on your J/ruler; or banish a resonator. If you do, put ten strength counters on your J/ruler; or banish a Beast resonator. If you do, put fifteen strength counters on your J/ruler.
Ferocious Triceratops	ADK	ADK-041	Resonator	Fire	Common	{R} {R} {2}	4	Dinosaur		1200	800		
Fire Majin	ADK	ADK-042	Resonator	Fire	Uncommon	{R}	1	Wicked Spirit		400	400		[Crest] {R} (This card gains the following text as long as you control a fire Magic Crest.) -When this card enters the field => It deals 600 damage to target player or J/resonator.
Fire Wave	ADK	ADK-043	Chant	Fire	Uncommon	{R} {R} {R} {3}	6						As you play this card, you may banish a Wicked Spirit resonator. If you do, you may pay {2} less to play this card. <br/>This card deals 1200 damage to each resonator your opponent controls.
Fires of the Demon King	ADK	ADK-044	Resonator	Fire	Common	{R}	1	Spirit		0	100		When this card is put into a graveyard from the field => It deals 600 damage to target resonator.
Frayla, Servant of Demon Fire	ADK	ADK-045	Resonator	Fire	Super	{R} {1}	2	Dark Elf/Wicked Spirit		600	600		When this card enters the field => It gains [Swiftness] until end of turn if you don't control another resonator. <br/>Whenever this card attacks => Another target resonator you control may gain [+400/0] and [Swiftness] until end of turn. If it does, at the next end of turn => Its controller banishes it.
Frayla's Devotee	ADK	ADK-046	Resonator	Fire	Common	{R} {1}	2	Dark Elf		500	500		Whenever damage is dealt to you => This card gains [+200/+200] until end of turn.
Giant Enraged Ox	ADK	ADK-047	Resonator	Fire	Uncommon	{R} {R} {2}	4	Beast		1500	200		When this card is put into a graveyard from the field => Put five strength counters on your J/ruler.
Hoelle Chicken	ADK	ADK-048	Resonator	Fire	Common	{R}	1	Beast		300	300		When this card is put into a graveyard from the field => Put three strength counters on your J/ruler.
Magic Crest of Fire	ADK	ADK-049	Addition (Magic Crest)	Fire	Common	{R} {1}	2		Magic Crest				When this card enters the field => It deals 600 damage to target resonator.
Magic Impact	ADK	ADK-050	Chant	Fire	Uncommon	{R} {R} {2}	4						This card deals 1100 damage to your opponent.
Majin Dark Elf	ADK	ADK-051	Resonator	Fire	Uncommon	{R}	1	Dark Elf		600	600		[Swiftness] <br/>Play this card only if damage was dealt to you this turn.
Majin Madness	ADK	ADK-052	Chant	Fire	Common	{R} {1}	2						[Quickcast] <br/>Target resonator gains [+800/0] until end of turn. <br/>[Awakening] {R} {1}: That resonator gains [Pierce] until end of turn.
Majin Subjugation	ADK	ADK-053	Chant	Fire	Rare	{R}	1						As an additional cost to play this card, banish a resonator. <br/>Search your deck for a Wicked Spirit with total cost X or less, where X is the banished resonator's total cost plus 2, and put it into the field. Then shuffle your deck.
Panda Pugilist	ADK	ADK-054	Resonator	Fire	Common	{R} {2}	3	Panda		800	800		Banish a gem: This card gains [+400/0] and [Pierce] until end of turn. Play this ability only once per turn.
Play Dead	ADK	ADK-055	Chant (Battle Arts)	Fire	Uncommon	{R}	1		Battle Arts				[Quickcast] <br/>As an additional cost to play this card, remove X strength counters from your J/ruler. <br/>Target resonator with total cost X or less gains "When this card is put into a graveyard from the field => Put it into the field." until end of turn
Unstable Golem	ADK	ADK-056	Resonator	Fire	Uncommon	{R} {2}	3	Golem		700	900		[Mobilize] {2} <br/>Whenever this card attacks => It deals 800 damage to each resonator. Banish this card
Velociraptor, Mountain Hunter	ADK	ADK-057	Resonator	Fire	Common	{R} {R} {4}	6	Dinosaur		1500	1200		Whenever this card attacks => Target resonator cannot block this turn.
Welser, the Archmage	ADK	ADK-058,ADK-058J	Ruler	Fire	Rare			Wizard					[Judgment] {W} {R} {U} {G} {B} <br/>[Energize] {R} <br/>Rest a recovered Magic Crest you control: Produce one will of an attribute shared with the Magic Crest rested this way. Spend this will only to do this card's judgment. <br/>You may pay the attribute cost of Wicked Spirits and Magic Crests with fire will.
